url,price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
https://somon.tj/adv/15272743_2-komn-kvartira-9-etazh-81-m2-shokhmansur/,770000,2,81.0,9,Шоҳмансур,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15297949_2-komn-kvartira-1-etazh-42-m2-gimnaziia-aminzhon/,300000,2,42.0,1,гимназия аминжон,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
https://somon.tj/adv/15239570_2-komn-kvartira-4-etazh-65-m2-12-mkr/,410000,2,62.0,4,12 мкр,Новостройка,Новый ремонт,Совмещенный,Есть,Построено,Нет
https://somon.tj/adv/15283112_1-komn-kvartira-2-etazh-50-m2-pavaroti-lelingrad/,100000,1,50.0,2,гардиши Ленинград,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/14029108_3-komn-kvartira-16-etazh-124-m2-spartak/,2200000,3,119.0,16,Спартак,Новостройка,С ремонтом,Совмещенный,Есть,Построено,Есть
https://somon.tj/adv/14657800_2-komn-kvartira-12-etazh-67-m2-shokhmansur-chordoma/,595000,2,95.0,12,Шохмансур,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
https://somon.tj/adv/15281049_2-komn-kvartira-3-etazh-70-m2-pavaroti-leningrad/,560000,2,70.0,3,павароти ленинград,Новостройка,С ремонтом,Раздельный,Нет,Построено,Нет
https://somon.tj/adv/14987394_3-komn-kvartira-18-etazh-86-m2-n-shokhmansur/,1150000,3,86.0,18,Шохмансур,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Нет
https://somon.tj/adv/15296238_2-komn-kvartira-3-etazh-60-m2-shabcharog/,645000,2,60.0,3,Шабчароғ,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Есть
https://somon.tj/adv/15029222_2-komn-kvartira-16-etazh-68-m2-103-mkr/,760000,2,68.0,16,103 мкр,Новостройка,С ремонтом,Совмещенный,Есть,На стадии строительства,Есть
https://somon.tj/adv/15288821_3-komn-kvartira-11-etazh-87-m2-shokhmansur/,1390000,3,87.0,11,Шоҳмансур,Новостройка,Новый ремонт,Раздельный,Есть,Построено,Есть
https://somon.tj/adv/15295480_3-komn-kvartira-8-etazh-80-m2-guliston/,490000,3,80.0,8,Гулистон,Новостройка,С ремонтом,Раздельный,Нет,Построено,Нет
https://somon.tj/adv/15295315_1-komn-kvartira-11-etazh-61-m2-shokhmansur-peshina-uvd/,570000,1,61.0,11,Шохмансур пешина УВД,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
