price,rooms,area_m2,floor,district,build_type,renovation,bathroom,heating,condition,techpassport
195496,1,40,5,Сино,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Есть
196000,1,45,9,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
196000,1,50,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
196000,1,46,8,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
197000,1,53,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
197000,1,56,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
197680,2,53,15,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
198000,1,48,9,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
199000,1,47,7,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
199000,2,47,15,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
199000,2,55,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
199000,1,30,6,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
200000,3,32,2,Другое,Вторичный рынок,С ремонтом,Раздельный,Нет,Построено,Есть
200000,1,25,1,Другое,Вторичный рынок,С ремонтом,Раздельный,Нет,Построено,Есть
200000,2,51,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
200000,1,48,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,1,41,12,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,1,54,10,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
200000,2,55,9,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
200000,1,44,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
200000,1,45,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,1,45,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
200000,1,48,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,1,39,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,2,68,6,И. Сомони,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,2,39,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,1,42,4,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
200000,2,48,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,2,40,7,Другое,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Есть
200000,1,47,4,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
200000,1,48,4,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
200000,2,39,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
201000,1,45,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
201000,2,48,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
201000,2,49,15,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
202000,1,62,9,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
203000,1,45,5,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Есть
203000,1,52,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
204255,1,45,11,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
204750,1,45,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
205000,1,45,6,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
205000,2,58,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
205000,1,50,10,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
205000,1,40,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
205000,1,40,2,И. Сомони,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
205000,2,51,14,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
205000,1,45,8,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
205000,2,39,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
205000,1,45,7,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
205000,1,47,9,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
205000,2,50,10,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
205065,1,45,9,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
206000,1,52,1,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
206000,2,39,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
207000,2,46,6,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Есть
207000,1,46,13,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
207000,2,39,4,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
207000,1,45,4,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Есть
207000,1,45,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
207948,1,52,4,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
208000,1,46,10,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
208000,2,39,10,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
209000,2,40,2,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
209200,1,49,11,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Есть
209300,1,50,10,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Есть
209990,2,50,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Есть
210000,2,55,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
210000,2,61,9,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
210000,1,35,13,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Есть,Построено,Нет
210000,1,60,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
210000,1,40,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
210000,2,50,11,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
210000,2,40,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
210000,1,46,6,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
210000,2,45,9,Другое,Вторичный рынок,С ремонтом,Раздельный,Есть,Построено,Есть
210000,1,52,10,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
210000,1,48,7,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
210000,2,60,14,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
210000,2,55,10,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
210000,2,40,9,И. Сомони,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
211500,1,45,4,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
211500,1,47,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
211500,1,45,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
211500,2,47,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
212000,1,54,3,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
212000,1,45,3,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
212549,1,50,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
212999,1,48,1,Сино,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
213000,2,44,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
213000,1,45,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
214000,1,46,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
215000,1,48,1,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
215000,1,49,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
215000,2,85,10,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
215000,1,53,8,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
215000,1,46,6,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
215000,2,40,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
215000,1,52,4,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
215000,2,63,1,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
215000,1,48,6,Другое,Новостройка,С ремонтом,Совмещенный,Нет,На стадии строительства,Нет
215000,1,42,3,Другое,Новостройка,С ремонтом,Совмещенный,Нет,На стадии строительства,Нет
215000,1,44,5,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
215000,1,50,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
215000,1,40,7,Другое,Новостройка,Новый ремонт,Раздельный,Нет,Построено,Есть
215000,1,47,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
215000,1,68,9,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
215000,2,60,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
215000,1,30,4,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
215000,1,47,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,Построено,Нет
215580,1,44,10,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
215999,1,48,1,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
216000,2,42,5,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
216000,2,48,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
216000,1,47,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
216000,1,52,7,И. Сомони,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
216000,1,38,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
217000,2,42,4,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
217000,2,48,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
217000,1,44,1,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
218000,1,69,8,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
218000,1,69,7,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
219000,1,48,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
219999,1,40,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,2,65,1,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,1,39,1,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
220000,2,57,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
220000,2,48,1,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,Построено,Нет
220000,1,46,12,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
220000,1,45,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Есть
220000,1,48,5,Другое,Вторичный рынок,Без ремонта (коробка),Совмещенный,Есть,Построено,Нет
220000,2,50,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
220000,2,43,8,И. Сомони,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,1,25,2,Другое,Вторичный рынок,С ремонтом,Совмещенный,Нет,Построено,Есть
220000,1,44,2,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,2,42,6,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,1,44,2,И. Сомони,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
220000,2,59,9,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
220000,2,63,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
220000,3,64,20,Сино,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
220000,2,44,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,1,41,1,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,1,48,7,Сино,Новостройка,Новый ремонт,Совмещенный,Нет,На стадии строительства,Нет
220000,1,40,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Есть,На стадии строительства,Нет
220000,2,56,10,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
220000,1,52,9,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,1,44,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Нет
220000,1,50,10,Другое,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Есть
220000,1,45,4,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Нет,На стадии строительства,Нет
220000,1,44,3,Сино,Новостройка,Без ремонта (коробка),Совмещенный,Есть,На стадии строительства,Нет
220000,2,53,8,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,6,68,7,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,На стадии строительства,Нет
220000,2,40,3,Другое,Новостройка,Без ремонта (коробка),Раздельный,Нет,Построено,Есть
